番号,プログラム名,概要
1,app.js,"バックエンドAPIサーバー。Express.jsを使用し、ユーザー認証、体重・食事・運動の記録管理、管理者機能、AIアドバイス生成などのAPIエンドポイントを提供"
2,home.html,"ホーム画面。ユーザーの健康状態の概要（体重推移グラフ、カロリー収支、AIアドバイス、次の運動予定）を表示"
3,login.html,"ログイン画面。ユーザーがログインIDとパスワードを入力してログイン"
4,register.html,"新規アカウント登録画面。ユーザーが名前、ログインID、パスワードを入力して新規アカウントを作成"
5,profile_register.html,"プロフィール初期設定画面。新規登録後、年齢・性別・身長・体重・目標体重を入力"
6,user_info.html,"プロフィール確認・編集画面。ユーザー情報の表示と更新"
7,profile.html,"プロフィール編集画面（旧版）。ユーザー情報の編集機能を提供"
8,record_weight.html,"体重記録画面。日付と体重を入力して記録を保存"
9,record_meal.html,"食事記録画面。食事名とカロリーを入力して記録を保存"
10,record_exercise.html,"運動記録画面。運動名、時間、消費カロリーを入力して記録を保存"
11,schedule.html,"運動スケジュール管理画面。運動の予定を登録・確認・削除"
12,history.html,"履歴・グラフ画面。体重・食事・運動の履歴をグラフで可視化"
13,food-entry.html,"食事入力画面（詳細版）。食事の詳細情報を入力"
14,admin_login.html,"管理者ログイン画面。管理者がログインするための専用画面"
15,admin_dashboard.html,"管理者ダッシュボード。全ユーザーの一覧表示、ログイン履歴確認、ユーザー削除機能を提供"
16,style.css,"共通スタイルシート。アプリ全体のデザインシステム（色、フォント、レイアウト、ライト/ダークモード）を定義"
17,styles.css,"スタイルシート（旧版または補助用）。追加のスタイル定義"
18,components.js,"共通UIコンポーネント。ヘッダーナビゲーション、認証チェック、トースト通知、テーマ切り替え機能を提供"
19,api.js,"API通信ユーティリティ（現在は空ファイル）"
20,chart.umd.min.js,"Chart.jsライブラリ。グラフ描画に使用"
